id,title,artist,file_path,duration_ms,item_type,energy_category,last_played_timestamp,intro_duration,outro_duration,music_pool_id,punch_ms,bpm,source_url,year,explicit,verified,is_served,cue_in_ms,cue_out_ms,danceability,energy_score,valence
10680,Don't Mind,Sentury,Music/Sentury - Don't Mind.mp3,281182,Music,Unassigned,1783435875.0,6687,4677,1.0,41123,112,https://music.youtube.com/playlist?list=OLAK5uy_nAi5DC-bNau7GAN9V1Xax0IEPcsx7TPY0,2026.0,0,0,0,0,0,0.0,0.0,0.0
10694,Don't Forget About Us,Mariah Carey,Music/Mariah Carey - Don't Forget About Us.mp3,234188,Music,Unassigned,1784810830.0,3738,2518,3.0,19598,144,https://music.youtube.com/playlist?list=OLAK5uy_nnJ2JRY4XvT4sEDcEGUSWGq9fU1xcMhmE,2005.0,0,1,0,0,0,0.0,0.0,0.0
10699,Next Stop Back In The Day Jam,Chicago L Announcement,ondemand/sweepers/static/Chicago L Announcement - Next Stop Back In The Day Jam.mp3,5616,Sweeper,Unassigned,1781282803.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10700,Next Stop Now Departing,Chicago L Announcement,ondemand/sweepers/rotating/Chicago L Announcement - Next Stop Now Departing.mp3,10501,Sweeper,Unassigned,1781282803.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10701,Chicago L Announcement This Is FMP Radio,Unknown Artist,ondemand/sweepers/Chicago L Announcement This Is FMP Radio.mp3,2089,Sweeper,Throwbacks,1781282803.0,0,0,,0,100,,,0,0,0,0,0,0.0,0.0,0.0
10702,Not My Daddy (feat. Stokley),Kelly Price,Music/Kelly Price - Not My Daddy (feat. Stokley).mp3,273319,Music,New School,1785483308.0,19040,3679,1.0,41703,62,https://music.youtube.com/playlist?list=OLAK5uy_mHJ1IhGLARy2oVsckpA-KVJW0a_aDtCVA,2011.0,0,1,0,0,0,0.0,0.0,0.0
10703,All I Need (with Mahalia & Ty Dolla $ign),Jacob Collier,Music/Jacob Collier - All I Need (with Mahalia & Ty Dolla $ign).mp3,243827,Music,Unassigned,1783751110.0,14512,6628,1.0,42469,78,https://music.youtube.com/playlist?list=OLAK5uy_mZHT-kfKBiyF25wsMHlpponP_T9-oSvL4,2020.0,0,1,0,0,0,0.49,0.5700000000000001,0.0
10745,Billie Jean,Michael Jackson,Music/Michael Jackson - Billie Jean.mp3,294264,Music,Unassigned,1783582205.0,4458,1708,7.0,19040,116,https://music.youtube.com/playlist?list=OLAK5uy_l1U925dsiDi2DqlG-KCbODG6BaibpxbQE,1982.0,0,1,0,0,0,0.92,0.97,0.0
10746,Candy Girl,New Edition,Music/New Edition - Candy Girl.mp3,232000,Music,Throwbacks,1784931424.0,16022,4886,7.0,44977,103,https://music.youtube.com/playlist?list=OLAK5uy_nGBH_CZ-SiBSe4Lh1aMRh1EgxG4_i2im0,1993.0,0,1,0,0,0,0.84,0.65,0.0
10747,If Only for One Night,Luther Vandross,Music/Luther Vandross - If Only for One Night.mp3,246000,Music,Unassigned,1785377824.0,6455,4167,7.0,57771,109,https://music.youtube.com/playlist?list=OLAK5uy_mAjf3_A3-ImvvChsq1nls_Vv1XdyLuURI,1985.0,0,1,0,0,0,0.53,0.2099999999999999,0.0
10748,Keep on Movin',Soul II Soul,Music/Soul II Soul - Keep on Movin'.mp3,362000,Music,Unassigned,1785371338.0,1463,12758,7.0,13677,93,https://music.youtube.com/playlist?list=OLAK5uy_nHHt_d6kNHyxUtmldOwJzev-Vj_JyaFmk,1989.0,0,1,0,0,0,0.68,0.96,0.0
10749,Ain't No Sunshine,Bill Withers,Music/Bill Withers - Ain’t No Sunshine.mp3,122000,Music,Old School,1785461352.0,2949,4840,7.0,12934,79,https://music.youtube.com/playlist?list=OLAK5uy_lRYRMllp2v7Zh2g9o7nz3DeDFRYbsVTcs,1971.0,0,1,0,0,0,0.48,0.54,0.0
10750,Lovergirl,Teena Marie,Music/Teena Marie - Lovergirl.mp3,287000,Music,Unassigned,1785429012.0,1881,5978,7.0,16324,123,https://music.youtube.com/playlist?list=OLAK5uy_mutM3LBrYzja8LcRnbZpwia_kjAkesC0I,1984.0,0,1,0,0,0,0.73,0.95,0.0
10751,I Can't Wait,Nu Shooz,Music/Nu Shooz - I Can’t Wait.mp3,326592,Music,Old School,1785403515.0,325,3981,7.0,36571,103,https://music.youtube.com/playlist?list=OLAK5uy_mKjLIGPiNFqmEGmXoqt8JEcuL-LKKIvLU,1986.0,0,1,0,0,0,0.79,0.83,0.0
10752,Human Nature,Michael Jackson,Music/Michael Jackson - Human Nature.mp3,242000,Music,Unassigned,1783798021.0,1393,6883,7.0,23615,92,https://music.youtube.com/playlist?list=OLAK5uy_l1U925dsiDi2DqlG-KCbODG6BaibpxbQE,1982.0,0,1,0,0,0,0.63,0.5,0.0
10754,If It Isn't Love,New Edition,Music/New Edition - If It Isn’t Love.mp3,309000,Music,Unassigned,1785421471.0,13955,1821,7.0,15952,97,https://music.youtube.com/playlist?list=OLAK5uy_nQwsUnwT6hjMbKJD1jIoV9ilddmDCkWt4,1988.0,0,1,0,0,0,0.61,0.88,0.0
10755,Give Me the Night,George Benson,Music/George Benson - Give Me the Night.mp3,297000,Music,Unassigned,1783621024.0,4830,5583,7.0,30023,112,https://music.youtube.com/playlist?list=OLAK5uy_l9IflZAJLOgiwuSVPkqCUwIPY1PQfrv8k,1980.0,0,1,0,0,0,0.85,0.6799999999999999,0.0
10756,Head to Toe,Lisa Lisa & Cult Jam,Music/Lisa Lisa & Cult Jam - Head to Toe.mp3,303000,Music,Unassigned,1785381664.0,3622,3168,7.0,13444,113,https://music.youtube.com/playlist?list=OLAK5uy_mzw5T-eTDlmg0bPDmfoQ0_4FpCpR8njvI,1987.0,0,1,0,0,0,0.85,0.95,0.0
10757,I Miss You,Klymaxx,Music/Klymaxx - I Miss You.mp3,333000,Music,Old School,1785435639.0,36432,4515,7.0,52756,139,,1984.0,0,1,0,0,0,0.56,0.43,0.0
10758,One Heartbeat,Smokey Robinson,Music/Smokey Robinson - One Heartbeat.mp3,239000,Music,Unassigned,1783697151.0,27121,10297,7.0,18344,89,,1987.0,0,1,0,0,0,0.76,0.87,0.0
10759,Shower Me With Your Love,Surface,Music/Surface - Shower Me With Your Love.mp3,291000,Music,Unassigned,1783341608.0,27098,5281,7.0,57771,131,https://music.youtube.com/playlist?list=OLAK5uy_lUVqgIPCbT-VAg1lCaARGZgUTiBX1RD00,1991.0,0,1,0,0,0,0.64,0.47,0.0
10760,Groove Me,Guy,Music/Guy - Groove Me.mp3,204000,Music,Unassigned,1785374554.0,720,312,7.0,35550,107,,1988.0,0,1,0,0,0,0.81,0.97,0.0
10761,Upside Down,Diana Ross,Music/Diana Ross - Upside Down.mp3,241000,Music,Unassigned,1785453423.0,2276,5862,7.0,37036,108,https://music.youtube.com/playlist?list=OLAK5uy_n4mVTQriUiBo0jK351qNJ-bP4EiL8r9HY,2000.0,0,1,0,0,0,0.88,0.8200000000000001,0.0
10762,Slow Down,Loose Ends,Music/Loose Ends - Slow Down.mp3,293000,Music,Old School,1784939407.0,5387,12781,7.0,21850,102,,1986.0,0,1,0,0,0,0.74,0.78,0.0
10766,I Want to Be Your Man,Zapp & Roger,Music/Zapp & Roger - I Want to Be Your Man.mp3,247000,Music,Throwbacks,1784898004.0,1927,6953,3.0,30534,81,https://music.youtube.com/playlist?list=OLAK5uy_lwfnjY5K5YsPm87nAg-f9Wj1z_he5GzYA,1993.0,0,1,0,0,0,0.0,0.0,0.0
10768,Chain of Fools,Aretha Franklin,Music/Aretha Franklin - Chain of Fools.mp3,166000,Music,Unassigned,1783707825.0,5039,6628,7.0,43027,117,,1968.0,0,1,0,0,0,0.77,0.79,0.0
10769,Ooo La La La,Teena Marie,Music/Teena Marie - Ooo La La La.mp3,317000,Music,Unassigned,1783718983.0,28305,6326,7.0,18831,173,https://music.youtube.com/playlist?list=OLAK5uy_lApJO2xN7Ymvvac-M2ST10jIx4e8OgNhA,1997.0,0,1,0,0,0,0.5,0.79,0.0
10770,All Around the World,Lisa Stansfield,Music/Lisa Stansfield - All Around the World.mp3,263000,Music,Old School,1784810108.0,13142,5560,1.0,50898,99,,1989.0,0,1,0,0,0,0.44,0.4399999999999999,0.0
10771,Candy,Cameo,Music/Cameo - Candy.mp3,331000,Music,Old School,1785464224.0,5573,11806,7.0,15070,112,,1986.0,0,1,0,0,0,0.0,0.0,0.0
10773,Love Me in a Special Way,DeBarge,Music/DeBarge - Love Me in a Special Way.mp3,255528,Music,Old School,1783779424.0,57493,7063,7.0,24149,125,,1983.0,0,1,0,0,0,0.51,0.3399999999999999,0.0
10774,Oh Sheila,Ready for the World,Music/Ready for the World - Oh Sheila.mp3,240000,Music,Old School,1785489424.0,998,939,7.0,16625,128,,1985.0,0,1,0,0,0,0.82,0.96,0.0
10775,Everybody Loves the Sunshine,Roy Ayers,Music/Roy Ayers - Everybody Loves the Sunshine.mp3,233000,Music,Unassigned,1785443177.0,26215,6280,7.0,25078,161,https://music.youtube.com/playlist?list=OLAK5uy_lxggW9pPJYyAlEkumhr48p6tFHR7igAzw,1997.0,0,1,0,0,0,0.52,0.83,0.0
10776,When Somebody Loves You Back,Teddy Pendergrass,Music/Teddy Pendergrass - When Somebody Loves You Back.mp3,294000,Music,Old School,1783430224.0,10797,5537,7.0,32461,97,,1978.0,0,1,0,0,0,0.71,0.6,0.0
10777,Yearning for Your Love,The Gap Band,Music/The Gap Band - Yearning for Your Love.mp3,343440,Music,Unassigned,1783679357.0,511,8115,3.0,18947,90,,2000.0,0,1,0,0,0,0.59,0.9,0.0
10778,The Sweetest Taboo,Sade,Music/Sade - The Sweetest Taboo.mp3,302000,Music,Throwbacks,1784913424.0,24288,6883,7.0,44280,91,https://music.youtube.com/playlist?list=OLAK5uy_mTdTiMQbk4FRor2slefb8RMQOOE-luo-s,1994.0,0,1,0,0,0,0.76,0.87,0.0
10779,Beat It,Michael Jackson,Music/Michael Jackson - Beat It.mp3,258432,Music,New School,1783343442.0,348,8971,7.0,17995,136,,1982.0,0,1,0,0,0,0.78,0.95,0.0
10783,I Feel for You,Chaka Khan,Music/Chaka Khan - I Feel for You.mp3,245000,Music,Old School,1783761709.0,8568,3609,7.0,30674,123,,1984.0,0,1,0,0,0,0.8,0.98,0.0
10784,All at Once,Whitney Houston,Music/Whitney Houston - All at Once.mp3,263000,Music,Old School,1783572036.0,30070,8253,7.0,39985,132,,1985.0,0,1,0,0,0,0.58,0.4599999999999999,0.0
10785,Ghetto Life,Rick James,Music/Rick James - Ghetto Life.mp3,259000,Music,Unassigned,1785356799.0,12005,2820,7.0,11122,116,,1981.0,0,1,0,0,0,0.76,0.5800000000000001,0.0
10786,Wanna Be Startin' Somethin',Michael Jackson,Music/Michael Jackson - Wanna Be Startin’ Somethin’.mp3,360000,Music,Throwbacks,1785488677.0,1138,5374,3.0,19505,122,https://music.youtube.com/playlist?list=OLAK5uy_lFSveRBLEEzcTREN-T-RFY6rU14Dol2DQ,1995.0,0,1,0,0,0,0.85,0.97,0.0
10787,Lately,Stevie Wonder,Music/Stevie Wonder - Lately.mp3,244000,Music,Old School,1783667824.0,12817,3006,7.0,35619,77,,1980.0,0,1,0,0,0,0.37,0.51,0.0
10789,Feel So Real,Steve Arrington,Music/Steve Arrington - Feel So Real.mp3,306000,Music,Old School,1781678830.0,13886,10,7.0,24985,113,,1985.0,0,1,0,0,0,0.67,0.97,0.0
10790,On My Own,Patti LaBelle,Music/Patti LaBelle - On My Own.mp3,285000,Music,Old School,1783636047.0,32415,8485,7.0,39149,92,,1986.0,0,1,0,0,0,0.61,0.6799999999999999,0.0
10791,I Feel Good All Over,Stephanie Mills,Music/Stephanie Mills - I Feel Good All Over.mp3,302000,Music,Unassigned,1783783797.0,42864,5444,7.0,30209,123,,1987.0,0,1,0,0,0,0.46,0.4,0.0
10792,Nite and Day,Al B. Sure!,Music/Al B. Sure! - Nite and Day.mp3,238000,Music,Old School,1783323663.0,418,7139,7.0,15650,92,,1988.0,0,1,0,0,0,0.66,0.97,0.0
10793,Two Occasions,The Deele,Music/The Deele - Two Occasions.mp3,252000,Music,Unassigned,1785446567.0,395,11040,7.0,10820,169,,1987.0,0,1,0,0,0,0.55,0.97,0.0
10795,Something in the Way You Make Me Feel,Stephanie Mills,Music/Stephanie Mills - Something in the Way You Make Me Feel.mp3,327000,Music,Throwbacks,1784809024.0,2670,11365,7.0,11146,94,https://music.youtube.com/playlist?list=OLAK5uy_mfQUa_tzbsHQjlRfH1fG5qdg5mpiGFUX4,2006.0,0,1,0,0,0,0.74,0.6,0.0
10796,If I'm Not Your Lover,Al B. Sure!,Music/Al B. Sure! - If I'm Not Your Lover.mp3,245000,Music,Unassigned,1783805455.0,372,8694,7.0,28653,103,,1988.0,0,1,0,0,0,0.85,0.93,0.0
