Track Name,File Path,Source_URL,duration_ms,item_type,energy_category,Intro_Duration,Punch_Ms,outro_duration,bpm,Bitrate,Lyrics,Year,Art Ratio,Length
Roy Ayers - Everybody Loves the Sunshine [The Best of Roy Ayers],Z:/Old School 70s80s/Roy Ayers - Everybody Loves the Sunshine [The Best of Roy Ayers].mp3,,233000,Music,,10000,0,20000,0,320,Unknown,1997,1.0,3:53
Teddy Pendergrass - When Somebody Loves You Back [Life Is a Song Worth Singing],Z:/Old School 70s80s/Teddy Pendergrass - When Somebody Loves You Back [Life Is a Song Worth Singing].mp3,,294000,Music,,10000,0,20000,0,320,Unknown,2008,1.0,4:54
The Gap Band - Yearning for Your Love [Gap Band III],Z:/Old School 70s80s/The Gap Band - Yearning for Your Love [Gap Band III].mp3,,343000,Music,,10000,0,20000,0,320,Unknown,1980,1.0,5:43
Sade - The Sweetest Taboo [Hits 3_ The Album],Z:/Old School 70s80s/Sade - The Sweetest Taboo [Hits 3_ The Album].mp3,,302000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,5:02
Michael Jackson - Beat It [The Very Best Of],Z:/Old School 70s80s/Michael Jackson - Beat It [The Very Best Of].mp3,,258000,Music,,10000,0,20000,0,320,Unknown,1993,1.0,4:18
The Delfonics - Delfonics' Theme [The Definitive Collection],Z:/Old School 70s80s/The Delfonics - Delfonics' Theme [The Definitive Collection].mp3,,272000,Music,,10000,0,20000,0,320,Unknown,1999,1.0,4:32
Jermaine Stewart - We Don't Have to Take Our Clothes Off (short version) [We Don't Have to Take Our Clothes Off],Z:/Old School 70s80s/Jermaine Stewart - We Don't Have to Take Our Clothes Off (short version) [We Don't Have to Take Our Clothes Off].mp3,,241000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,4:01
Danny Boy - This Song (Radio) [This Song (Radio)],Z:/Old School 70s80s/Danny Boy - This Song (Radio) [This Song (Radio)].mp3,,203000,Music,,10000,0,20000,0,320,Unknown,2022,1.0,3:23
Chaka Khan - I Feel for You [I Feel for You],Z:/Old School 70s80s/Chaka Khan - I Feel for You [I Feel for You].mp3,,245000,Music,,10000,0,20000,0,320,Unknown,1984,1.0,4:05
Whitney Houston - All at Once [Whitney Houston],Z:/Old School 70s80s/Whitney Houston - All at Once [Whitney Houston].mp3,,263000,Music,,10000,0,20000,0,320,Unknown,2010,1.0,4:23
Rick James - Ghetto Life [Street Songs],Z:/Old School 70s80s/Rick James - Ghetto Life [Street Songs].mp3,,259000,Music,,10000,0,20000,0,320,Unknown,1981,1.0,4:19
"Michael Jackson - Wanna Be Startin’ Somethin’ [HIStory_ Past, Present and Future, Book I]","Z:/Old School 70s80s/Michael Jackson - Wanna Be Startin’ Somethin’ [HIStory_ Past, Present and Future, Book I].mp3",,360000,Music,,10000,0,20000,0,320,Unknown,1995,1.0,6:00
Stevie Wonder - Lately [Hotter Than July],Z:/Old School 70s80s/Stevie Wonder - Lately [Hotter Than July].mp3,,244000,Music,,10000,0,20000,0,320,Unknown,1980,1.0,4:04
Danny Boy - Mama Used to Say [It’s About Time],Z:/Old School 70s80s/Danny Boy - Mama Used to Say [It’s About Time].mp3,,162000,Music,,10000,0,20000,0,320,Unknown,2010,1.0,2:42
Hall & Oates - Say It Isn’t So [Starting All Over Again_ Best of Hall and Oates],Z:/Old School 70s80s/Hall & Oates - Say It Isn’t So [Starting All Over Again_ Best of Hall and Oates].mp3,,257000,Music,,10000,0,20000,0,320,Unknown,1997,1.0,4:17
Steve Arrington - Feel So Real [Dancin’ in the Key of Life],Z:/Old School 70s80s/Steve Arrington - Feel So Real [Dancin’ in the Key of Life].mp3,,306000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,5:06
Patti LaBelle - On My Own [Winner in You],Z:/Old School 70s80s/Patti LaBelle - On My Own [Winner in You].mp3,,285000,Music,,10000,0,20000,0,320,Unknown,1986,1.0,4:45
Daryl Hall & John Oates - Everytime You Go Away [Music from HBO's Watchmen],Z:/Old School 70s80s/Daryl Hall & John Oates - Everytime You Go Away [Music from HBO's Watchmen].mp3,,324000,Music,,10000,0,20000,0,320,Unknown,2020,1.0,5:24
Stephanie Mills - I Feel Good All Over [If I Were Your Woman],Z:/Old School 70s80s/Stephanie Mills - I Feel Good All Over [If I Were Your Woman].mp3,,302000,Music,,10000,0,20000,0,320,Unknown,1987,1.0,5:02
Al B. Sure! - Nite and Day [In Effect Mode],Z:/Old School 70s80s/Al B. Sure! - Nite and Day [In Effect Mode].mp3,,238000,Music,,10000,0,20000,0,320,Unknown,1988,1.0,3:58
The Deele - Two Occasions [Eyes of a Stranger],Z:/Old School 70s80s/The Deele - Two Occasions [Eyes of a Stranger].mp3,,252000,Music,,10000,0,20000,0,320,Unknown,1997,1.0,4:12
Jermaine Jackson - Let's Get Serious [Let's Get Serious],Z:/Old School 70s80s/Jermaine Jackson - Let's Get Serious [Let's Get Serious].mp3,,475000,Music,,10000,0,20000,0,320,Unknown,1980,1.0,7:55
Stephanie Mills - Something in the Way You Make Me Feel [Home],Z:/Old School 70s80s/Stephanie Mills - Something in the Way You Make Me Feel [Home].mp3,,327000,Music,,10000,0,20000,0,320,Unknown,1989,1.0,5:27
Al B. Sure! - If I'm Not Your Lover [In Effect Mode],Z:/Old School 70s80s/Al B. Sure! - If I'm Not Your Lover [In Effect Mode].mp3,,245000,Music,,10000,0,20000,0,320,Unknown,1988,1.0,4:05
Stevie Wonder - Part Time Lover [The Definitive Collection],Z:/Old School 70s80s/Stevie Wonder - Part Time Lover [The Definitive Collection].mp3,,251000,Music,,10000,0,20000,0,320,Unknown,2002,1.0,4:11
Rick James - Super Freak [Street Songs],Z:/Old School 70s80s/Rick James - Super Freak [Street Songs].mp3,,202000,Music,,10000,0,20000,0,320,Unknown,2002,1.0,3:22
Michael McDonald - I Keep Forgettin' (Every Time You're Near) [If That's What It Takes],Z:/Old School 70s80s/Michael McDonald - I Keep Forgettin' (Every Time You're Near) [If That's What It Takes].mp3,,215000,Music,,10000,0,20000,0,320,Unknown,1982,1.0,3:35
Marvin Gaye - Sexual Healing [Midnight Love],Z:/Old School 70s80s/Marvin Gaye - Sexual Healing [Midnight Love].mp3,,236000,Music,,10000,0,20000,0,320,Unknown,2002,1.0,3:56
